"N,F/P,P/F,P/A,A/F,A/P, 
1,1.0600,0.9434,1.0000,0.9434,1.0000,1.0600,
2,1.1236,0.8900,2.0600,1.8334,0.4854,0.5454,
3,1.1910,0.8396,3.1836,2.6730,0.3141,0.3741,
4,1.2625,0.7921,4.3746,3.4651,0.2286,0.2886,
5,1.3382,0.7473,5.6371,4.2124,0.1774,0.2374,
6,1.4185,0.7050,6.9753,4.9173,0.1434,0.2034,
7,1.5036,0.6651,8.3938,5.5824,0.1191,0.1791,
8,1.5938,0.6274,9.8975,6.2098,0.1010,0.1610,
9,1.6895,0.5919,11.4913,6.8017,0.0870,0.1470,
10,1.7908,0.5584,13.1808,7.3601,0.0759,0.1359,
11,1.8983,0.5268,14.9716,7.8869,0.0668,0.1268,
12,2.0122,0.4970,16.8699,8.3838,0.0593,0.1193,
13,2.1329,0.4688,18.8821,8.8527,0.0530,0.1130,
14,2.2609,0.4423,21.0151,9.2950,0.0476,0.1076,
15,2.3966,0.4173,23.2760,9.7122,0.0430,0.1030,
16,2.5404,0.3936,25.6725,10.1059,0.0390,0.0990,
17,2.6928,0.3714,28.2129,10.4773,0.0354,0.0954,
18,2.8543,0.3503,30.9057,10.8276,0.0324,0.0924,
19,3.0256,0.3305,33.7600,11.1581,0.0296,0.0896,
20,3.2071,0.3118,36.7856,11.4699,0.0272,0.0872,
21,3.3996,0.2942,39.9927,11.7641,0.0250,0.0850,
22,3.6035,0.2775,43.3923,12.0416,0.0230,0.0830,
23,3.8197,0.2618,46.9958,12.3034,0.0213,0.0813,
24,4.0489,0.2470,50.8156,12.5504,0.0197,0.0797,
25,4.2919,0.2330,54.8645,12.7834,0.0182,0.0782,"
