"N,F/P,P/F,P/A,A/F,A/P
1 1.1500 0.8696 1.0000 0.8696 1.0000 1.1500 
2 1.3225 0.7561 2.1500 1.6257 0.4651 0.6151 
3 1.5209 0.6575 3.4725 2.2832 0.2880 0.4380 
4 1.7490 0.5718 4.9934 2.8550 0.2003 0.3503 
5 2.0114 0.4972 6.7424 3.3522 0.1483 0.2983 
6 2.3131 0.4323 8.7537 3.7845 0.1142 0.2642 
7 2.6600 0.3759 11.0668 4.1604 0.0904 0.2404 
8 3.0590 0.3269 13.7268 4.4873 0.0729 0.2229 
9 3.5179 0.2843 16.7858 4.7716 0.0596 0.2096 
10 4.0456 0.2472 20.3037 5.0188 0.0493 0.1993 
11 4.6524 0.2149 24.3493 5.2337 0.0411 0.1911 
12 5.3503 0.1869 29.0017 5.4206 0.0345 0.1845 
13 6.1528 0.1625 34.3519 5.5831 0.0291 0.1791 
14 7.0757 0.1413 40.5047 5.7245 0.0247 0.1747 
15 8.1371 0.1229 47.5804 5.8474 0.0210 0.1710 
16 9.3576 0.1069 55.7175 5.9542 0.0179 0.1679 
17 10.7613 0.0929 65.0751 6.0472 0.0154 0.1654
18 12.3755 0.0808 75.8364 6.1280 0.0132 0.1632 
19 14.2318 0.0703 88.2118 6.1982 0.0113 0.1613 
20 16.3665 0.0611 102.4436 6.2593 0.0098 0.1598 
21 18.8215 0.0531 118.8101 6.3125 0.0084 0.1584 
22 21.6447 0.0462 137.6316 6.3587 0.0073 0.1573 
23 24.8915 0.0402 159.2764 6.3988 0.0063 0.1563 
24 28.6252 0.0349 184.1678 6.4338 0.0054 0.1554 
25 32.9190 0.0304 212.7930 6.4641 0.0047 0.1547 "
